StockCode,Description,total_revenue,total_quantity_sold,total_transactions,Revenue_per_Transaction,first_sale_date,last_sale_date,product_lifetime_days,Lifetime_Tier,days_since_last_sale,Activity_Status,is_churned,Churn_Status,segment,Revenue_Tier
M,manual,262589.86,2769,516,508.8950775193798,2009-12-01 14:50:00,2010-12-09 16:11:00,373,Medium,0,Active,0,Active,Healthy,High
,regency cakestand 3 tier,169912.75999999998,13691,2020,84.11522772277226,2010-03-15 13:55:00,2010-12-09 16:53:00,269,Medium,0,Active,0,Active,Healthy,High
85123A,white hanging heart t-light holder,160345.63,58692,3316,48.35513570566948,2009-12-01 09:46:00,2010-12-09 18:09:00,373,Medium,0,Active,0,Active,Healthy,High
DOT,dotcom postage,116408.71,733,733,158.8113369713506,2009-12-01 14:28:00,2010-12-09 16:35:00,373,Medium,0,Active,0,Active,Healthy,High
,assorted colour bird ornament,72890.19,45236,1413,51.58541401273885,2009-12-01 09:06:00,2010-12-09 19:32:00,373,Medium,0,Active,0,Active,Healthy,High
,paper chain kit 50's christmas,58127.3,17205,957,60.739080459770115,2009-12-01 10:06:00,2010-12-09 19:32:00,373,Medium,0,Active,0,Active,Healthy,High
85099B,jumbo bag red retrospot,56480.46,30748,1247,45.2930713712911,2010-05-14 16:33:00,2010-12-09 16:35:00,209,Medium,0,Active,0,Active,Healthy,High
,party bunting,49664.12,10092,1014,48.97842209072979,2009-12-01 13:07:00,2010-12-09 16:35:00,373,Medium,0,Active,0,Active,Healthy,High
POST,postage,49477.54,2310,759,65.18779973649539,2009-12-01 09:28:00,2010-12-09 14:49:00,373,Medium,0,Active,0,Active,Healthy,High
,rotating silver angels t-light hldr,47954.49,23037,347,138.19737752161382,2009-12-01 11:58:00,2010-12-09 16:31:00,373,Medium,0,Active,0,Active,Healthy,High
15056N,edwardian parasol natural,36925.26,7469,628,58.7981847133758,2009-12-01 11:50:00,2010-12-09 16:27:00,373,Medium,0,Active,0,Active,Healthy,High
85099F,jumbo bag strawberry,36732.16,20002,1057,34.7513339640492,2009-12-01 13:38:00,2010-12-09 13:08:00,372,Medium,0,Active,0,Active,Healthy,High
,vintage union jack bunting,36023.71,4144,829,43.45441495778046,2009-12-01 12:47:00,2010-12-09 10:42:00,372,Medium,0,Active,0,Active,Healthy,High
,strawberry ceramic trinket box,34411.68,27060,1640,20.982731707317072,2009-12-01 07:45:00,2010-12-09 14:09:00,373,Medium,0,Active,0,Active,Healthy,High
15056BL,edwardian parasol black,32495.99,6795,584,55.64381849315069,2009-12-01 11:50:00,2010-12-09 16:31:00,373,Medium,0,Active,0,Active,Healthy,High
85099C,jumbo  bag baroque black white,32140.99,17270,970,33.135041237113406,2009-12-01 12:30:00,2010-12-09 13:08:00,373,Medium,0,Active,0,Active,Healthy,High
,jumbo storage bag suki,31493.71,15839,1180,26.689584745762712,2009-12-01 11:34:00,2010-12-09 20:01:00,373,Medium,0,Active,0,Active,Healthy,High
,cream heart card holder,31111.56,10066,797,39.03583437892095,2009-12-01 12:13:00,2010-12-09 14:09:00,373,Medium,0,Active,0,Active,Healthy,High
,chilli lights,31061.2,6465,515,60.313009708737866,2009-12-01 14:56:00,2010-12-09 15:32:00,373,Medium,0,Active,0,Active,Healthy,High
,home building block word,30851.27,5037,1331,23.179015777610818,2009-12-01 09:06:00,2010-12-09 16:27:00,373,Medium,0,Active,0,Active,Healthy,High
,hot water bottle tea and sympathy,30388.91,6680,1016,29.910344488188976,2009-12-01 10:06:00,2010-12-09 16:31:00,373,Medium,0,Active,0,Active,Healthy,High
,lunch bag red spotty,29773.27,17885,1218,24.444392446633827,2009-12-01 10:06:00,2010-11-10 09:52:00,343,Medium,29,Active,0,Active,Healthy,High
,jumbo shopper vintage red paisley,29572.25,15096,1058,27.95108695652174,2010-01-29 13:52:00,2010-12-09 14:09:00,314,Medium,0,Active,0,Active,Healthy,High
,vintage union jack memoboard,29102.69,3927,327,88.99905198776759,2010-02-28 15:58:00,2010-12-09 14:44:00,283,Medium,0,Active,0,Active,Healthy,High
,paper chain kit vintage christmas,28828.0,8986,689,41.84034833091437,2010-09-19 10:20:00,2010-12-09 19:32:00,81,Short,0,Active,0,Active,Healthy,High
,set/5 red spotty lid glass bowls,28734.120000000003,10420,883,32.54147225368064,2009-12-01 11:50:00,2010-11-24 12:40:00,358,Medium,15,Active,0,Active,Healthy,High
,black record cover frame,28662.34,8294,272,105.37625,2009-12-01 18:35:00,2010-12-09 17:27:00,372,Medium,0,Active,0,Active,Healthy,High
,red retrospot cake stand,28640.239999999998,2760,686,41.74962099125364,2010-03-31 13:15:00,2010-12-09 16:10:00,253,Medium,0,Active,0,Active,Healthy,High
,red hanging heart t-light holder,28242.68,10088,1066,26.4940712945591,2009-12-01 10:06:00,2010-12-09 18:09:00,373,Medium,0,Active,0,Active,Healthy,High
,chocolate hot water bottle,27817.74,5515,928,29.976012931034486,2009-12-01 09:08:00,2010-12-09 18:09:00,373,Medium,0,Active,0,Active,Healthy,High
84078A,set/4 white retro storage cubes,27558.210000000003,714,174,158.38051724137932,2009-12-02 11:26:00,2010-12-06 09:58:00,368,Medium,3,Active,0,Active,Healthy,High
,scottie dog hot water bottle,27481.47,5508,994,27.647354124748492,2009-12-01 09:06:00,2010-12-09 19:23:00,373,Medium,0,Active,0,Active,Healthy,High
,jumbo bag pink vintage paisley,27121.76,14931,774,35.041033591731264,2009-12-01 09:57:00,2010-12-09 13:08:00,373,Medium,0,Active,0,Active,Healthy,High
,small popcorn holder,27022.23,29809,887,30.464746335963923,2010-02-24 11:51:00,2010-12-09 19:32:00,288,Medium,0,Active,0,Active,Healthy,High
,wood black board ant white finish,26811.8,5034,522,51.363601532567046,2010-04-11 10:30:00,2010-12-09 19:28:00,242,Medium,0,Active,0,Active,Healthy,High
82494L,wooden frame antique white,26401.56,9026,1140,23.15926315789474,2009-12-01 10:49:00,2010-12-09 16:08:00,373,Medium,0,Active,0,Active,Healthy,High
,jumbo bag pink with white spots,26242.66,14202,802,32.72152119700748,2010-01-29 12:35:00,2010-11-19 13:09:00,294,Medium,20,Active,0,Active,Healthy,High
,jumbo bag scandinavian paisley,25878.77,14275,755,34.27651655629139,2009-12-01 10:06:00,2010-12-09 13:08:00,373,Medium,0,Active,0,Active,Healthy,High
,colour glass. star t-light holder,25868.47,8971,523,49.461701720841305,2009-12-01 11:21:00,2010-12-09 16:52:00,373,Medium,0,Active,0,Active,Healthy,High
,heart of wicker large,25673.91,8628,1096,23.425100364963505,2010-04-22 12:12:00,2010-12-09 19:28:00,231,Medium,0,Active,0,Active,Healthy,High
,red toadstool led night light,25588.559999999998,15695,720,35.53966666666666,2009-12-01 09:28:00,2010-12-09 14:49:00,373,Medium,0,Active,0,Active,Healthy,High
84029E,red woolly hottie white heart.,25454.100000000002,7023,805,31.62,2009-12-01 09:44:00,2010-12-09 19:32:00,373,Medium,0,Active,0,Active,Healthy,High
,tea time cake stand in gift box,25428.33,2465,522,48.71327586206897,2009-12-01 12:30:00,2010-08-01 10:09:00,242,Medium,130,Inactive,1,Churned,Churned,High
,antique silver tea glass etched,25305.09,18710,907,27.899768467475194,2009-12-01 10:36:00,2010-12-09 19:28:00,373,Medium,0,Active,0,Active,Healthy,High
