Description,total_revenue,revenue_pct,cum_revenue_pct,total_transactions,days_since_last_sale,is_churned,segment,enhanced_segment
manual,339241.29,1.6567541268656556,1.6567541268656556,788,0.0,0.0,Healthy,Healthy
manual,339241.29,1.6567541268656556,1.6567541268656556,788,352.0,1.0,Churned,Churned
regency cakestand 3 tier,330590.32,1.614505347983548,3.2712594748492037,3918,0.0,0.0,Healthy,Healthy
dotcom postage,309854.11,1.513235831253869,4.784495306103072,1415,0.0,0.0,Healthy,Healthy
white hanging heart t-light holder,260990.22,1.2745990444045754,6.059094350507648,5455,0.0,0.0,Healthy,Healthy
white hanging heart t-light holder,260990.22,1.2745990444045754,6.059094350507648,5455,1.0,0.0,Healthy,Healthy
"paper craft , little birdie",168469.6,0.8227557000841681,6.881850050591816,1,0.0,0.0,At Risk,At Risk
party bunting,148318.28,0.7243426131283013,7.606192663720117,2674,0.0,0.0,Healthy,Healthy
jumbo bag red retrospot,148073.47,0.7231470334929392,8.329339697213056,3269,420.0,1.0,Churned,Churned
assorted colour bird ornament,129324.49,0.6315825603431005,8.960922257556156,2807,0.0,0.0,Healthy,Healthy
postage,125682.42,0.6137957676362527,9.574718025192409,1851,0.0,0.0,Healthy,Healthy
paper chain kit 50's christmas,117760.29000000001,0.5751064277535215,10.14982445294593,2018,0.0,0.0,Healthy,Healthy
medium ceramic top storage jar,81700.92000000001,0.39900312953862666,10.548827582484558,247,0.0,0.0,Healthy,Healthy
chilli lights,80540.88,0.39333783727031446,10.942165419754872,1135,0.0,0.0,Healthy,Healthy
rotating silver angels t-light hldr,71300.4,0.3482100659007988,11.290375485655671,756,0.0,0.0,Healthy,Healthy
jumbo bag strawberry,69002.13,0.33698599495368176,11.627361480609354,1855,0.0,0.0,Healthy,Healthy
jumbo bag strawberry,69002.13,0.33698599495368176,11.627361480609354,1855,331.0,1.0,Churned,Churned
rabbit night light,66870.03,0.326573449140375,11.953934929749728,994,0.0,0.0,Healthy,Healthy
black record cover frame,65189.29,0.3183652120735127,12.27230014182324,634,0.0,0.0,Healthy,Healthy
jumbo storage bag suki,61537.55,0.30053119394664973,12.57283133576989,2329,0.0,0.0,Healthy,Healthy
vintage union jack bunting,60286.04,0.2944191892513674,12.867250525021259,1292,2.0,0.0,Healthy,Healthy
edwardian parasol natural,60145.85,0.29373454275375116,13.16098506777501,1149,0.0,0.0,Healthy,Healthy
edwardian parasol natural,60145.85,0.29373454275375116,13.16098506777501,1149,8.0,0.0,Healthy,Healthy
hot water bottle tea and sympathy,59189.14,0.2890622540688637,13.450047321843874,1583,0.0,0.0,Healthy,Healthy
jumbo  bag baroque black white,59142.78,0.2888358455402276,13.7388831673841,1878,0.0,0.0,Healthy,Healthy
jumbo  bag baroque black white,59142.78,0.2888358455402276,13.7388831673841,1878,501.0,1.0,Churned,Churned
paper chain kit vintage christmas,58652.700000000004,0.2864424397655523,14.025325607149654,1427,0.0,0.0,Healthy,Healthy
chocolate hot water bottle,57981.94,0.2831666463085223,14.308492253458176,1721,0.0,0.0,Healthy,Healthy
jumbo shopper vintage red paisley,57318.71,0.2799276271444308,14.588419880602608,2192,0.0,0.0,Healthy,Healthy
wood black board ant white finish,56745.73,0.27712936228813495,14.865549242890742,1176,0.0,0.0,Healthy,Healthy
heart of wicker large,53506.130000000005,0.26130811402736465,15.126857356918107,1952,0.0,0.0,Healthy,Healthy
victorian glass hanging t-light,52382.82,0.25582220021584284,15.38267955713395,1816,0.0,0.0,Healthy,Healthy
red hanging heart t-light holder,50346.490000000005,0.24587736675774485,15.628556923891693,1760,0.0,0.0,Healthy,Healthy
jumbo bag pink polkadot,50081.96,0.24458548047474027,15.873142404366433,1443,,,Healthy,Weak
scottie dog hot water bottle,49771.94,0.2430714344857898,16.11621383885222,1689,0.0,0.0,Healthy,Healthy
jumbo bag pink vintage paisley,49651.99,0.24248563416202157,16.358699473014244,1619,0.0,0.0,Healthy,Healthy
